id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Rainy Window Waltz,Clara Voss,classical,melancholy,0.22,68,0.38,0.30,0.97
12,Block Party,Crate Kings,hip-hop,energetic,0.85,96,0.74,0.91,0.08
13,Porch & Fireflies,Dusty Hollow,country,nostalgic,0.44,104,0.76,0.67,0.82
14,Devil's Slide,Iron Veil,metal,intense,0.97,168,0.30,0.72,0.04
15,Velvet Dusk,Sable & June,r&b,romantic,0.61,88,0.78,0.69,0.44
16,Autumn Folk Tale,The Birch Trio,folk,nostalgic,0.33,94,0.66,0.48,0.91
17,Neon Mirage,Prism Circuit,electronic,dreamy,0.69,128,0.62,0.85,0.11
18,Blue Matchbook,Sadie Raines,blues,melancholy,0.50,72,0.43,0.45,0.88
19,Solar Drift,Orbit Bloom,ambient,dreamy,0.19,55,0.70,0.33,0.95
20,Late Night Study,LoRoom,lofi,chill,0.38,76,0.54,0.61,0.80
21,Rain on Glass,LoRoom,lofi,chill,0.41,74,0.57,0.59,0.75
22,Dim Lamp Hours,Paper Lanterns,lofi,focused,0.36,80,0.52,0.63,0.82
23,Foggy Morning,LoRoom,lofi,chill,0.44,70,0.60,0.65,0.78
24,City Lights,Neon Echo,pop,happy,0.79,120,0.83,0.80,0.12
26,Thunder Road,Voltline,rock,intense,0.92,148,0.45,0.68,0.08
27,Iron Curtain,Stonefield,rock,intense,0.89,155,0.42,0.64,0.11
28,Red Signal,Iron Veil,rock,energetic,0.94,160,0.50,0.70,0.06
29,Winter Sonata,Clara Voss,classical,melancholy,0.25,65,0.35,0.28,0.96
30,Moonlight Prelude,The Birch Trio,classical,melancholy,0.28,70,0.40,0.32,0.94
32,Blue Corner,Slow Stereo,jazz,relaxed,0.45,92,0.68,0.55,0.85
33,Late Night Improv,The Quartet,jazz,moody,0.52,88,0.62,0.50,0.80
34,Smoke and Keys,Mellow Brass,jazz,chill,0.48,94,0.65,0.52,0.82
